X S
20.08 25.0595653973747
20.11 24.7831223041272
20.23 25.9060997709287
20.47 24.9333061769403
20.52 23.4360449613577
20.88 24.4073979794046
20.91 24.3931502735352
20.92 26.1580620824701
21.07 25.1115152875442
21.15 24.1349390913374
21.53 24.3920759173716
21.68 24.5775127596517
21.79 23.8460919843826
21.91 23.952650966092
22.17 23.9767599620896
22.22 23.0422637024408
22.23 25.5558400040292
22.49 24.1008250984164
22.89 24.6784850288881
22.96 23.9244207788846
23.29 23.4184521259254
23.31 22.9285570696109
23.49 24.205508936469
23.66 24.5748245878713
23.68 23.6963112372596
23.81 24.7471508937768
24.19 24.5844439788196
24.26 22.5099437851015
24.5 24.8706416797987
24.57 24.4212101466363
24.73 24.1768503523586
24.99 24.1517063075429
25.06 23.3005486901667
25.22 24.2514621299669
25.29 24.7761423243144
25.5 25.0603457134963
25.52 25.101258760701
25.7 24.2887284829671
25.87 24.3141832118394
25.87 25.4714432755327
26.12 25.7495537686127
26.13 25.0091816245258
26.21 24.8570868329698
26.65 24.942898624313
26.72 23.3764440873479
26.79 23.569181141166
26.84 23.9886327120367
26.99 25.6103975884554
27.1 23.9939079793707
27.17 24.956406441668
27.27 25.4054791766739
27.33 23.888698234913
27.79 25.4204178677974
27.84 23.8893748096463
28.01 23.7844653778072
28.03 25.1836749169071
28.05 23.9511612804708
28.22 24.265884753656
28.32 25.2001629264642
28.33 25.5111292479065
28.83 24.5069761908524
28.91 26.1305096553587
28.99 25.587673587104
29.04 24.3904214771304
29.08 25.021101508315
29.09 24.7079924739705
29.15 24.4066246180502
29.36 26.2036175944017
29.83 26.1968136127497
29.88 25.9835385971939
29.91 26.5395037666347
29.91 26.7684299855905
29.94 25.0356947791057
29.96 27.3639241532697
30.18 26.6080890812372
30.21 26.6131157201955
30.54 27.1714385788123
30.58 26.2953890890695
30.69 25.7894943407295
30.85 27.5884590773975
30.89 26.4102574834164
30.96 27.0201018487158
30.96 27.7261944625456
31.14 26.1985106624042
31.3 30.1222702969585
31.43 28.4178053524162
31.72 28.1718854121015
31.76 27.8350404979684
31.8 28.5906630687288
31.83 29.0495790322106
31.98 26.940322706299
32.01 27.502263317308
32.07 31.0356602857743
32.43 29.4381859828912
32.53 27.8177922062763
32.76 29.5602369258153
32.86 27.8291513355257
32.87 28.1413880512465
32.93 29.381422088318
32.94 27.6007120642951
32.99 29.0559754447921
33.09 27.8478576868143
33.42 27.5910810452266
33.7 27.7709948458874
33.71 29.0139235832608
33.79 28.3228822863672
34 27.3233420537676
34.03 28.5520877665287
34.04 29.3419567043825
34.17 27.9297594807571
34.19 28.6896758887128
34.43 28.0409824251057
34.62 29.4176357256709
34.75 30.3724317422015
35.02 28.6472480999144
35.15 26.9730139488878
35.2 30.207360889667
35.2 28.4889443356914
35.25 28.5316247076238
35.36 28.4694046423232
35.5 28.3634488118961
35.66 27.9339339863625
35.79 29.593812970692
36.2 29.9876090190266
36.24 27.6627596427496
36.26 28.0676173343079
36.29 28.307995543156
36.43 29.1869115052582
36.5 27.7460256426664
36.78 30.5549910490268
37.12 31.096142534795
37.18 30.8335393353015
37.2 28.8147083346433
37.2 29.7291413093382
37.32 31.7155860351487
37.44 30.5481217858508
37.51 31.3791265064804
37.55 31.0850957109174
37.89 34.2701577777128
38.11 30.2556735542288
38.16 33.0952154031816
38.2 33.8497544750898
38.31 34.9743252381218
38.35 33.3000882755903
38.45 32.2191619597347
38.49 35.4163194863986
38.79 32.2797025546765
39 35.059892446775
39.01 31.900931555556
39.1 31.6829104527578
39.34 36.6903035897065
39.37 40.2029912527011
39.4 38.6642443088006
39.69 43.3437300541827
39.81 42.8274077051218
39.91 37.0869752839903
40.02 44.9770552241992
40.27 46.4613237937735
40.32 49.1871117211035
40.32 46.9511734527522
40.47 48.8672704693012
40.48 44.0803612213103
40.8 55.0204924247919
40.92 49.4894539772824
41.29 47.7996548621639
41.33 64.7507220565623
41.35 52.2062397316414
41.42 52.8736311349992
41.44 59.0232442708648
41.52 58.8421461943748
41.54 60.0059037067513
41.99 82.50800500839
42.09 70.9019896556208
42.36 91.9789927279041
42.43 95.0579572689994
42.46 89.6502705545137
42.64 80.82204897897
42.72 100.851195995866
42.73 83.0604113167084
42.87 114.194790875805
43.04 98.1266261804267
43.18 83.9277580783693
43.36 117.502725663262
43.57 125.176200882727
43.7 121.810250830926
43.72 108.886326563752
43.97 125.279821743385
44.01 135.008454181836
44.16 146.106859121753
44.18 138.114195737215
44.35 151.049180782894
